"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham CDP, Massachusetts!!Estimate","Framingham CDP, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,587,536","*****","624,969","±2,515","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","5,938,264","±117","510,228","±4,793","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","649,272","±117","114,741","±4,493","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","36,212","±4,546","5,524","±1,707","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","278,716","±11,755","30,034","±4,335","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","9,574","±2,013","2,803","±1,068","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","115,741","±9,044","28,827","±4,405","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","116,395","±11,634","28,657","±4,666","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,379","±1,075","875","±715","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","41,611","±7,031","7,940","±3,033","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","17,543","±4,627","4,836","±2,186","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,908","±1,085","406","±259","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","3,737","±2,019","1,660","±1,694","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","46,805","±6,683","11,251","±3,145","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","2,412","±2,577","1,689","±2,439","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","60,696","±6,744","12,115","±2,658","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","3,693","±1,072","838","±537","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,356","±848","248","±296","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","3,687","±1,185","384","±245","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","25,925","±4,723","6,373","±2,093","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","9,392","±2,896","886","±473","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","47","±82","0","±204","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","7,557","±2,284","1,800","±1,109","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","3,459","±2,064","0","±204","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","4,744","±1,547","1,344","±858","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","836","±627","242","±382","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","31,938","±3,992","6,781","±1,868","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","9,536","±2,391","1,321","±655","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","6,351","±2,094","1,714","±1,245","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","101","±120","0","±204","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","15,950","±2,708","3,746","±1,613","","","","","","","","","","","","","","","","","","","","","","","","","",""
