"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham city, Massachusetts!!Estimate","Framingham city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,892,503","*****","694,295","±3,415","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,038,768","±1,296","557,663","±4,963","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","853,735","±1,296","136,632","±5,687","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","47,327","±5,795","8,758","±2,229","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","340,893","±12,349","33,090","±5,429","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","19,030","±4,013","4,978","±1,968","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","157,027","±11,469","34,710","±5,900","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","155,046","±14,394","25,171","±5,766","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,563","±1,146","501","±369","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","56,764","±9,243","3,299","±1,582","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","21,648","±5,618","5,199","±2,135","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","1,710","±834","331","±407","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","2,046","±869","743","±501","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","62,964","±9,394","12,393","±4,802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","7,351","±4,417","2,705","±2,526","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","81,143","±8,467","14,688","±4,216","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","6,427","±2,032","760","±607","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,722","±1,174","556","±355","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","3,784","±1,430","176","±186","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","36,102","±5,856","8,010","±2,638","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","15,169","±4,658","1,829","±1,839","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","1,041","±1,202","0","±216","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","9,544","±2,648","2,361","±1,517","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","956","±603","0","±216","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","5,587","±1,739","996","±597","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","811","±776","0","±216","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","53,269","±7,421","15,237","±4,585","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","10,336","±2,358","2,428","±1,141","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","5,247","±1,851","1,271","±851","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","127","±153","94","±146","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","37,559","±6,692","11,444","±4,295","","","","","","","","","","","","","","","","","","","","","","","","","",""
