"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham city, Massachusetts!!Estimate","Framingham city, Massachusetts!!Margin of Error","Haverhill city, Massachusetts!!Estimate","Haverhill city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","Malden city, Massachusetts!!Estimate","Malden city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,984,723","*****","654,281","±3,543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,087,373","*****","520,394","±5,919","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","897,350","*****","133,887","±5,291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","50,921","±6,383","7,197","±1,531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","323,528","±12,006","30,192","±5,085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","12,351","±2,672","2,134","±792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","197,739","±11,636","46,605","±5,670","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","160,763","±12,998","23,504","±4,737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","2,888","±1,443","700","±737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","50,922","±9,490","4,588","±1,902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","19,657","±4,438","4,347","±1,952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","3,047","±1,193","249","±298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","2,882","±1,130","351","±337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","77,599","±11,195","12,425","±4,434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","3,768","±2,459","844","±982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","87,364","±9,076","14,357","±3,277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","3,559","±1,073","404","±377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","3,104","±1,426","757","±818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","3,967","±1,281","380","±304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","32,781","±5,238","7,365","±2,669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","17,941","±4,215","2,337","±1,345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","237","±249","132","±215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","11,689","±3,148","936","±527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","1,846","±1,290","26","±44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","10,423","±3,541","1,979","±976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","1,817","±1,875","41","±71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","64,684","±6,258","9,898","±3,170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","13,525","±2,797","1,236","±611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","14,993","±2,993","967","±487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","821","±620","149","±250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","35,345","±5,621","7,546","±3,013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
