"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Brockton city, Massachusetts!!Estimate","Brockton city, Massachusetts!!Margin of Error","Cambridge city, Massachusetts!!Estimate","Cambridge city, Massachusetts!!Margin of Error","Fall River city, Massachusetts!!Estimate","Fall River city, Massachusetts!!Margin of Error","Framingham city, Massachusetts!!Estimate","Framingham city, Massachusetts!!Margin of Error","Haverhill city, Massachusetts!!Estimate","Haverhill city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lowell city, Massachusetts!!Estimate","Lowell city, Massachusetts!!Margin of Error","Lynn city, Massachusetts!!Estimate","Lynn city, Massachusetts!!Margin of Error","Malden city, Massachusetts!!Estimate","Malden city, Massachusetts!!Margin of Error","Medford city, Massachusetts!!Estimate","Medford city, Massachusetts!!Margin of Error","New Bedford city, Massachusetts!!Estimate","New Bedford city, Massachusetts!!Margin of Error","Newton city, Massachusetts!!Estimate","Newton city, Massachusetts!!Margin of Error","Quincy city, Massachusetts!!Estimate","Quincy city, Massachusetts!!Margin of Error","Somerville city, Massachusetts!!Estimate","Somerville city, Massachusetts!!Margin of Error","Springfield city, Massachusetts!!Estimate","Springfield city, Massachusetts!!Margin of Error","Worcester city, Massachusetts!!Estimate","Worcester city, Massachusetts!!Margin of Error"
"Total:","6,981,974","*****","649,768","±3,289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Not Hispanic or Latino","6,070,936","±490","519,518","±5,110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Hispanic or Latino:","911,038","±490","130,250","±5,120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mexican","60,988","±7,332","8,241","±2,595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Puerto Rican","305,888","±12,083","25,955","±3,749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Cuban","15,242","±2,444","1,606","±740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Dominican (Dominican Republic)","187,649","±12,625","40,657","±5,924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Central American:","162,103","±13,837","25,131","±5,590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Costa Rican","5,231","±1,929","1,924","±1,572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Guatemalan","60,114","±8,796","7,760","±3,484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Honduran","19,983","±4,759","4,318","±1,770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Nicaraguan","2,011","±901","442","±421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Panamanian","2,934","±1,437","561","±512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Salvadoran","69,360","±10,711","9,856","±3,903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other Central American","2,470","±1,783","270","±433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        South American:","111,093","±10,646","21,571","±4,298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Argentinean","5,348","±1,527","358","±312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Bolivian","1,059","±730","71","±86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Chilean","5,796","±2,260","1,772","±1,446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Colombian","52,415","±8,042","12,644","±3,900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Ecuadorian","20,818","±4,593","2,044","±853","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Paraguayan","738","±566","281","±388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Peruvian","13,766","±3,373","2,007","±1,263","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Uruguayan","2,553","±1,373","447","±613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Venezuelan","7,266","±1,929","1,925","±895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Other South American","1,334","±1,368","22","±37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Other Hispanic or Latino:","68,075","±7,470","7,089","±2,053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spaniard","10,250","±3,074","1,554","±1,060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish","14,747","±3,347","1,178","±581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Spanish American","0","±222","0","±222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            All other Hispanic or Latino","43,078","±6,129","4,357","±1,659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
